ID,Chinese,English,Context,Source,Notes
app_name,漫威超级战争,Marvel Super War,Application Label,resources.arsc,Extracted from APK resources
cancel,退出,Cancel,Button,resources.arsc,Extracted from APK resources
confirm,确认,Confirm,Button,resources.arsc,Extracted from APK resources
export_ef_alert_cancel,取消,Cancel,Button,resources.arsc,Extracted from APK resources
export_ef_alert_confirm,退出,Confirm,Button,resources.arsc,Extracted from APK resources
export_ef_alert_message,你想要结束游戏并退出吗？,Do you want to end the game and exit?,Dialog Message,resources.arsc,Extracted from APK resources
export_ef_alert_title,退出游戏,Exit Game,Dialog Title,resources.arsc,Extracted from APK resources
nxunisdk_message_exit_game,确定要退出游戏?,,System/SDK,resources.arsc,Extracted from APK resources
nxunisdk_title_exit_game,退出游戏,,System/SDK,resources.arsc,Extracted from APK resources
obb_access_failed,文件访问失败,,System/SDK,resources.arsc,Extracted from APK resources
obb_access_message,无法访问外部存储,,System/SDK,resources.arsc,Extracted from APK resources
obb_download_btn_cancel,取消,Cancel,Button,resources.arsc,Extracted from APK resources
obb_download_btn_pause,暂停,,OBB Downloader,resources.arsc,Extracted from APK resources
obb_download_btn_resume,继续,,OBB Downloader,resources.arsc,Extracted from APK resources
obb_download_btn_retry,重试,,OBB Downloader,resources.arsc,Extracted from APK resources
obb_download_title_complete,下载完成,,OBB Downloader,resources.arsc,Extracted from APK resources
obb_download_title_coping,正在复制文件，请稍等,,OBB Downloader,resources.arsc,Extracted from APK resources
obb_download_title_downloading,下载扩展文件中，请稍等,,OBB Downloader,resources.arsc,Extracted from APK resources
obb_download_title_failed,下载失败,,OBB Downloader,resources.arsc,Extracted from APK resources
obb_download_title_paused,下载暂停,,OBB Downloader,resources.arsc,Extracted from APK resources
unisdk_alert_dialog_info,未成年人消费限制说明,,System/SDK,resources.arsc,Extracted from APK resources
unisdk_alert_dialog_positive,我知道了,,System/SDK,resources.arsc,Extracted from APK resources
unisdk_alert_dialog_tips,提示,,System/SDK,resources.arsc,Extracted from APK resources
netease_mpay__abnormal,异常,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__account,帐号,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__account_input_hint,请输入%1$s帐号,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__activity_rebuild,客户端进程被意外中断，请确保运行内存充足。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__add_new_user,添加新帐号,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__agree,同意,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__agree_rule_to_login,请先同意相关政策条款再继续登录,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__alipay,支付宝,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__alipay_not_install,本设备未安装支付宝应用，无法开通免密支付。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__allow,允许,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__and,与,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__anti_addiction_check_quit_msg,【防沉迷】亲爱的玩家，根据国家新闻出版署《关于防止未成年人沉迷网络游戏的通知》《关于进一步严格管理 切实防止未成年人沉迷网络游戏的通知》，当前防沉迷系统保护已生效，未成年用户不可体验游戏。,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__anti_addiction_close,关闭,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__anti_addiction_countdown_float_left_time,%1$d分钟,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__anti_addiction_countdown_float_left_time_short,不足%1$d分钟,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__anti_addiction_countdown_float_prefix,未实名帐号 (剩余,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__anti_addiction_force_quit_msg,【防沉迷】亲爱的玩家，根据国家相关法规规定，当前防沉迷系统保护已生效，请合理安排游戏，注意休息哦~,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__anti_addiction_friendly_tip,温馨提示,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__anti_addiction_iknow,我知道了,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__anti_addiction_internal_error,内部数据异常，请退出游戏！,,Account / Payment SDK,resources.arsc,Extracted from APK resources
netease_mpay__anti_addiction_left_time_today,今天剩余游戏时长,,Account / Payment SDK,resources.arsc,Extracted from APK resources
